" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Mokotów,Br. I st.,Branżowa Szkoła I stopnia nr 64,1BK [O] Kucharz (ang),"38,4","55,04","96,4"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1 A_h [D] pol-hist-ang (ang-hisz*),"170,64*","178,90*","
laureat/ci"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1A_n [D] pol-hist-ang (ang-niem*),"160,45*","169,58*","
laureat/ci"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1 B_h [D] mat-fiz-ang (ang-hisz*),"172,38*","184,84*","208,74*"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1 B_n [D] mat-fiz-ang (ang-niem*),"172,23*","179,13*","189,77*"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1 C_h [O] mat-chem (ang-hisz*),157,"160,53","169,2"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1C_n [O] mat-chem (ang-niem*),"154,6","160,07","170,2"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1D [D] mat-geogr-niem (niem-ang),162*,"174,77*","195,6*"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1 E_h [O] mat-biol-chem (ang-hisz*),161,"165,20",170
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1 E_n [O] mat-biol-chem (ang-niem*),"158,8","161,71","168,4"
Mokotów,LO,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,1H [O] pol-hist (hisz*-ang),"139,8","149,30",171
