dzielnica,Nazwa szkoły,ulica,nr,,kod,miasto,numer ewidencyjny,Uwagi
Ursynów,Podstawowa Szkoła Międzynarodowa/The International School,Jagielska,2,,02-886,Warszawa,80 SPN,
Ursynów,Szkoła Podstawowa Heliantus,Bażancia,18,,02-892,Warszawa,104 SPN,
Ursynów,Międzynarodowa Szkołą Montessori,Dzierzby ,28,,02-836,Warszawa,110 SPN,
Ursynów,"Szkoła Podstawowa Przy Społecznym Liceum Ogólnokształcącym Nr 4 im. Batalionu AK ""Parasol"" w Warszawie",Hawajska ,14a,,02-776,Warszawa,135 SPN,
Ursynów,"Niepubliczna Szkoła Podstawowa Towarzystwa Oświatowego 
Sp. z o.o. w Warszawie",Przy Bażantarni ,3,,02-793,Warszawa,140 SPN,
Ursynów,"Szkoła Podstawowa Niepubliczna Fundacji ""Nauka i Wiedza""",Nowoursynowska,139U,,02-776,Warszawa,141 SPN,
Ursynów,Szkoła Podstawowa im. Samuela Bogumiła Lindego,J.  Rosoła,10,,02-786,Warszawa,151 SPN,
Ursynów,EDULIDER Szkoła Podstawowa dla Dorosłych w Warszawie,Sarabandy,16/22,,02-868,Warszawa,167 SPN,
Ursynów,PRYMUS Szkoła Podstawowa dla Dorosłych w Warszawie,Sarabandy,16/22,,02-868,Warszawa,166 SPN,
Wawer,Szkoła Podstawowa  Sióstr Felicjanek Nr 28 im. Bł. Angeli Truszkowskiej,Azaliowa ,10,,04-539,Warszawa,21 SPN,
Wawer,Prywatna Szkoła Podstawowa Nr 92,Patriotów,347,,04-760,Warszawa,31 SPN,
Wawer,Prywatna Szkoła Podstawowa Nr 63 imienia Wisławy Szymborskiej w Warszawie,Wał Miedzeszyński,141,,04-987,Warszawa,35 SPN,
Wawer,Prywatna Szkoła Podstawowa Nr 105 im. Astrid Lindgren,Żwanowiecka ,46/50,,04-849,Warszawa,43 SPN,
Wawer,"""ŻAGLE"" Szkoła Podstawowa Stowarzyszenia Sternik (II miejsce: ul. Lokalna 51)",M. Pożaryskiego,28,,04-703,Warszawa,65 SPN,
Wawer,Academy International Wawer niepubliczna Szkoła Podstawowa z oddziałami Dwujęzycznymi,27 grudnia ,52,,04-655,Warszawa,161 SPN,
Wawer,Niepubliczna Szkoła Podstawowa im. Augusta Cieszkowskiego,Alpejska,16, ,04-961,Warszawa,78 SPN,
Wawer,"Szkoła Podstawowa Towarzystwa Edukacyjnego ""Vizja"" w Warszawie",Patriotów,148,,04-839,Warszawa,98 SPN,
Wawer,Integracyjna Podstawowa Szkoła Montessori Wawer,Zerzeńska,10b,,04-787,Warszawa,146 SPN,
Wesoła,"Szkoła Podstawowa Niepubliczna Nr 90 ""Szkoła Rodzinna"" (II miejsce ul. Kruszyny 14a)",Kruszyny ,28,,05-077,Warszawa,32 SPN,
Wesoła,Społeczna Szkoła Podstawowa nr 12 im. Emanuela Bułhaka (II lokalizacja: Trakt Brzeski 9),Armii Krajowej ,9,,05-075,Warszawa,50 SPN,
Wesoła,Dwujęzyczna Szkoła Podstawowa nr 1,Wspólna,55,,05-075,Warszawa,76 SPN,
Wesoła,Prywatna Szkoła Podstawowa im. Zofii i Jędrzeja Moraczewskich,Armii Krajowej ,121,,05-075,Warszawa,155 SPN,
Wilanów,Szkoła Podstawowa Hlonda 12,Hlonda ,12,,02-972,Warszawa,122 SPN,"ośmioletnia szkoła podstawowa niepubliczna, niespełniająca warunków określonych w art.. 14 ust. 3 pkt 1, 2, 6 ustawy z dnia 14 grudnia 2016 r. - Prawo oswiatowe"
Wilanów,"Polsko-Francuska Niepubliczna Szkoła Podstawowa ""La Fontaine""",W. Rutkiewicz,2,,02-956,Warszawa,75 SPN,
Mokotów,Szkoła Podstawowa Niepubliczna Kolegium św. Stanisława Kostki ,Bobrowiecka,9,,00-728,Warszawa,22 SPN,
Wilanów,"Szkoła Podstawowa Niepubliczna im. Wiktorii Wiedeńskie Fundacji Edukacyjnej ""VARSOVIA"" ",Kolegiacka,1,,02-960,Warszawa,112 SPN,
Wilanów,Międzynarodowa Europejska Szkoła Podstawowa im. Jana Kułakowskiego w Warszawie - International European School*Warsaw,Wiertnicza ,140,,02-952,Warszawa,55 SPN,
Wilanów,Szkoła podstawowa im. A. Einsteina,Hlonda ,20,,02-972,Warszawa,158 SPN,
Wilanów,Polsko-Angielska Szkoła Podstawowa EDISON,Królewicza Jakuba,69,,02-956,Warszawa,107 SPN,
Wilanów,"Niepubliczna Anglojęzyczna Szkoła Podstawowa ""The English Primary""",Syta,78,,02-993,Warszawa,129 SPN,
Wilanów,POLISH BRITISH ACADEMY OF WARSAW - Dwujęzyczna Szkoła Podstawowa z Oddziałami Międzynarodowymi w Warszawie   II miejsce: ul. Wiertnicza 43,Wiertnicza ,75,,02-952,Warszawa,154 SPN,
Wilanów,Joy Primary School,Syta,131 A,,02-987,Warszawa,153 SPN,
Włochy,Niepubliczna Szkoła Podstawowa Turkusowa Wieża,Globusowa ,38,,01-874,Warszawa,132 SPN,
Włochy,Szkoła Podstawowa Eduventura,Na skraju,32,,02-197,Warszawa,163 SPn,
Włochy,Dwujęzyczna Szkoła Podstawowa Warsaw Bilingual School,Radarowa,6,,02-634,Warszawa,77 SPN,
Włochy,Integracyjna Podstawowa Szkoła Montessori Elipsoida,W. Żeleńskiego,3,,02-403,Warszawa,91 SPN,
Włochy,Społeczna Szkoła Podstawowa Nr 30 ,Astronautów ,11,,02-154,Warszawa,24 SPN,
Włochy,"Międzynarodowa Szkoła Podstawowa Towarzystwa Edukacyjnego ""Vizja""",Gładka,31,,02-172,Warszawa,126 SPN,
Włochy,Niepubliczna Szkoła podstawowa Tosi i Franka,Obywatelska,10,,02-409,Warszawa,157 SPN,
Włochy,Szkoła Podstawowa Mikroszkoła Włochy,Mikołajska,42,,02-455,Warszawa,130 SPN,
Włochy,"Niepubliczna Polsko-Angielska Szkoła Podstawowa ""Vancouver Schools""",Globusowa ,38,,02-436,Warszawa,114 SPN,
Wola,Katolicka Szkoła Podstawowa Nr 7 im. Ks. Kard. Stefana Wyszyńskiego ,Ogrodowa ,3a,,00-893,Warszawa,1 SPN,
Wola,Waldorfska Szkoła Podstawowa Nr 71,Wolność ,2a,,01-018,Warszawa,46 SPN,
Wola,"Prywatna Szkoła Podstawowa Nr 94 Szkoła ""Lauder Morasha""",H. Wawelberga ,10,,01-188,Warszawa,51 SPN,
Wola,Katolicka Szkoła Podstawowa im. Ks. Piotra Skargi,J. Bema,73/75,,01-244,Warszawa,56 SPN,
Wola,Academy International   Karolkowa 49 Niepubliczna Szkoła Podstawowa z Oddziałami Dwujęzycznymi nr 81 ,Karolkowa,49,,01-203,Warszawa,81 SPN,
Wola,Międzynarodowa Szkoła Podstawowa TE Vizja,Okopowa,59,,01-043,Warszawa,164 SPN,
Wola,Szkoła Podstawowa Akademia Dobrej Edukacji im. gen. Józefa Sowińskiego,Górczewska,13,,01-189,Warszawa,103 SPN,
Żoliborz,Szkoła Podstawowa Sióstr Zmartwychwstanek im. Bł. S Alicji Kotowskiej,Z. Krasińskiego,31,,01-784,Warszawa,113 SPN,
