Nr systemowy oddziału;Symbol oddziału;Nazwa krótka oddziału;Przedmioty rozszerzone;Zawód;Symbol klasyfikacyjny zawodu;Nr systemowy szkoły;REGON szkoły;Nazwa szkoły;Ulica szkoły;Nr budynku szkoły;Kod pocztowy szkoły;Dzielnica;Miejscowość szkoły;Kod SIMC miejscowości szkoły;Gmina szkoły;Kod TERC gminy szkoły;Powiat szkoły;Kod TERC powiatu szkoły;Województwo szkoły;Kod TERC województwa szkoły;Typ szkoły (LO/LP/TECH/BR1St/LU/TU/PS);Uprawnienia publiczne;Nr systemowy Punktu Naboru;Nazwa Punktu Naboru;Miejscowość Punktu Naboru;Nr systemowy organu prowadzącego;Nazwa organu prowadzącego;Miejscowość organu prowadzącego;Liczba miejsc w oddziale;Liczebność podstawowa oddziału;Krotność oddziału (l. miejsc/liczebność podst.);Cykl kształcenia;Maksimum punktowe;Ze sprawdzianem uzdolnień (tak/nie);Typ szczególny;Liczba chętnych ogółem;Liczba chętnych z orzeczeniem o potrzebie kształcenia specjalnego;Liczba chętnych ogółem z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z negatywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z nierozpatrzonymi wnioskami;Liczba chętnych ogółem z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z nierozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji łącznie;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z nierozpatrzonymi wnioskami;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z nierozpatrzonymi osiągnięciami;Liczba zarezerwowanych miejsc;Liczba rezerwacji potwierdzonych;Liczba rezerwacji niepotwierdzonych;Liczba potencjalnych kandydatów niezakwalifikowanych do tego oddziału;Liczba kandydatów zakwalifikowanych;Liczba kandydatów przyjętych
3295;0F;[DW] geogr-hist-wos (fra-fra);geografia, historia, wiedza o społeczeństwie;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;0;30;0;5;300.00000;tak;wstępny;34;0;33;1;0;33;1;0;10;10;0;0;10;0;0;0;0;0;10;0;0
974;1LOg;[O] geogr-ang (ang-niem);geografia, język angielski;;;164;142566970;Liceum Ogólnokształcące im. M.F. Bielińskiego;Budowalnych;14;05-530;brak;Góra Kalwaria;920321;Góra Kalwaria (M-w);1418014;piaseczyński;1418;MAZOWIECKIE;14;LO;szkoła publiczna;121;Zespół Szkół Zawodowych im. Marszałka Franciszka Bielińskiego;Góra Kalwaria;19;Powiat Piaseczyński;Piaseczno;34;28;1.214285714;4;200.00000;nie;ogólnodostępny;129;0;127;2;0;126;3;0;38;36;2;0;36;2;0;8;8;0;37;25;33
975;1LOp;[O] wos-ang (ang-niem);wiedza o społeczeństwie, język angielski;;;164;142566970;Liceum Ogólnokształcące im. M.F. Bielińskiego;Budowalnych;14;05-530;brak;Góra Kalwaria;920321;Góra Kalwaria (M-w);1418014;piaseczyński;1418;MAZOWIECKIE;14;LO;szkoła publiczna;121;Zespół Szkół Zawodowych im. Marszałka Franciszka Bielińskiego;Góra Kalwaria;19;Powiat Piaseczyński;Piaseczno;32;28;1.142857143;4;200.00000;nie;ogólnodostępny;141;2;138;2;1;138;2;1;35;34;0;1;34;0;1;4;4;0;32;28;31
4351;1LOh;[O] pol-hist-ang (ang-niem);język polski, historia, język angielski;;;164;142566970;Liceum Ogólnokształcące im. M.F. Bielińskiego;Budowalnych;14;05-530;brak;Góra Kalwaria;920321;Góra Kalwaria (M-w);1418014;piaseczyński;1418;MAZOWIECKIE;14;LO;szkoła publiczna;121;Zespół Szkół Zawodowych im. Marszałka Franciszka Bielińskiego;Góra Kalwaria;19;Powiat Piaseczyński;Piaseczno;28;28;1;4;200.00000;nie;ogólnodostępny;64;1;63;0;1;63;0;1;8;7;0;1;7;0;1;0;0;0;1;24;25
3721;1H;[O] Technik hotelarstwa (ang-niem,fra,ros);;Technik hotelarstwa;422402;48;146050660;Technikum nr 29;ul. Ogrodowa;16;00-896;Wola;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;TECH;szkoła publiczna;48;Zespół Szkół Stenotypii i Języków Obcych;Warszawa;17;Wola;Warszawa;30;30;1;5;200.00000;nie;ogólnodostępny;240;7;235;5;0;235;5;0;23;23;0;0;23;0;0;0;0;0;4;29;28
3726;1T;[O] Technik organizacji turystyki (ang-niem,fra,ros);;Technik organizacji turystyki;422104;48;146050660;Technikum nr 29;ul. Ogrodowa;16;00-896;Wola;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;TECH;szkoła publiczna;48;Zespół Szkół Stenotypii i Języków Obcych;Warszawa;17;Wola;Warszawa;30;30;1;5;200.00000;nie;ogólnodostępny;291;7;288;3;0;288;3;0;25;25;0;0;25;0;0;0;0;0;15;26;30
3754;1Ra/1Rb;[O] Technik reklamy (ang-niem,fra,ros);;Technik reklamy;333907;48;146050660;Technikum nr 29;ul. Ogrodowa;16;00-896;Wola;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;TECH;szkoła publiczna;48;Zespół Szkół Stenotypii i Języków Obcych;Warszawa;17;Wola;Warszawa;90;30;3;5;200.00000;nie;ogólnodostępny;381;11;375;6;0;374;7;0;46;46;0;0;45;1;0;17;0;17;7;70;72
5240;1TF;[O] Technik usług fryzjerskich (ang-niem*,ros*);;Technik usług fryzjerskich;514105;81;146279061;Technikum nr 30;ul. Mieszka I;7;03-886;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;TECH;szkoła publiczna;69;Zespół Szkół nr 34 im. Mieszka I;Warszawa;10;Targówek;Warszawa;32;32;1;5;200.00000;nie;ogólnodostępny;154;3;147;7;0;145;9;0;29;24;5;0;24;5;0;0;0;0;5;32;28
5255;1TB;[O] Technik budownictwa (ang-niem*,ros*);;Technik budownictwa;311204;81;146279061;Technikum nr 30;ul. Mieszka I;7;03-886;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;TECH;szkoła publiczna;69;Zespół Szkół nr 34 im. Mieszka I;Warszawa;10;Targówek;Warszawa;0;30;0;5;200.00000;nie;ogólnodostępny;66;1;64;2;0;65;1;0;4;3;1;0;3;1;0;0;0;0;7;0;0
5271;1TD;[O] Technik technologii drewna (ang-niem*,ros*);;Technik technologii drewna;311922;81;146279061;Technikum nr 30;ul. Mieszka I;7;03-886;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;TECH;szkoła publiczna;69;Zespół Szkół nr 34 im. Mieszka I;Warszawa;10;Targówek;Warszawa;30;30;1;5;200.00000;nie;ogólnodostępny;62;2;60;2;0;60;2;0;16;15;1;0;15;1;0;1;1;0;0;19;18
